,x
1,7E327303
2,AA7901D8
3,3647E146
4,9A77D2B0
5,1CBD2CED
6,AB1CB216
7,39086887
8,75600969
9,1456993D
10,FB738385
11,2CC21529
12,3AC46C54
13,5BC4E0EF
14,7FCE8A43
15,6B7A93C5
16,BBA2F9DF
17,6C50988A
18,B745D852
19,0716A71C
20,7E65A952
21,E196D6F9
22,90E2543E
23,13854B6E
24,F59AB6B3
25,BD929CBC
26,03AC32BA
27,5CBA3391
28,6BB94D7E
29,32DCEC14
30,60214D49
31,80285D5C
33,B9B272F4
34,7784B060
35,603194D3
36,640D71AA
37,01060BFD
38,15369E8E
39,151C2B3F
40,A091D50A
41,9A8E55D0
42,534FB490
43,58312873
44,4A5B4883
45,3558066B
46,E4A5B66A
47,28A4DA76
48,9BEECB7E
49,BC5A9498
50,FD2B0309
51,824361E5
52,1EB2595E
53,B7D7EF23
54,E1714A09
55,1929E1E1
56,97B870B4
57,B7B1A5DD
58,9F67F3AF
59,13E9F9B4
60,029491CD
61,0337440E
62,31ACA998
63,DE473F42
64,A5EC8BF5
65,F3DA111C
66,2CF6D6F6
67,2C7A2673
68,B4EE123D
69,667C6969
70,8F268682
71,787E0536
72,0BCBA6B9
73,FB4D08F0
74,4E192262
75,B5CE8FAD
76,E7C9A1F5
77,F5C8516D
78,9C5ED06A
79,C27D9E26
80,240E3390
81,31557374
82,8601A467
83,4185F617
84,FED3756C
85,D201EB72
86,ED4CE8E7
87,694C127A
88,F5C181CA
89,3072CC16
90,0B1B2EB6
91,C6E1197B
92,9437D635
93,0EB07C12
94,3E04020B
95,538A9CA7
96,0ADA5F17
97,3E2D0C9B
98,BD61BDEC
99,8F123A11
100,15EE0D36
101,EB0CD5DC
102,866903B9
103,24F14328
104,0E599E6C
105,FC366114
106,EAD14427
107,95E28A57
108,2225D685
109,78509A5D
110,58C502EA
111,734C73A9
112,BA4C8A02
113,DB5DABCF
114,DACF7A98
115,BC06BC0D
116,85106518
117,049D9AEA
118,89F8B6F5
119,154BCCAE
120,DE0971C1
121,F6DF700B
122,BB6B236F
123,0413ED30
124,36171C2B
125,ACC99F35
126,8EB0C1FA
127,1725B07D
128,AF49F890
129,951C150C
130,BCF9A19A
131,575A3E3B
132,6D4F72B1
133,B48335B1
134,1E1AB415
135,BA9191BC
136,249AE8DF
137,1E1B6D19
138,27B2749A
139,407E2CA8
140,AF0C7BDE
141,2FA39DCD
142,AC1E519F
143,C9ABA616
144,77567086
145,28669A3D
146,00124D98
147,6C74415D
148,BE78E765
149,F7937349
150,42393721
151,27903EF7
152,E0A04985
153,E53FC25C
154,536A5157
155,9456DEDF
156,178B8955
157,DC3050A9
158,EA5E858A
159,BBFF0963
160,20C2214E
161,989B57D8
162,3F9E1C51
163,A5F09E05
164,31CE00C7
165,A47B0BD4
166,D05FFEF7
167,2281F1C7
168,93694BB5
169,53D94597
170,6BDADC9C
171,CAA5E106
172,00635FF9
173,39BD9FF2
174,76DF73A9
175,F012ED4B
176,8DB64266
177,EA4D6C0B
178,50566E50
179,0D88C072
180,A7A75EA1
181,B01E8BD4
182,018B3169
183,C5971E25
184,87705CC4
185,23863F65
186,94A44032
187,B182DED2
188,90B13ACF
189,86D45B8F
190,3EF081A8
191,466E9077
192,FFF61080
193,5BFFE091
194,19CCBBD2
195,B9EE9676
196,85625D75
197,7EFF698D
198,6EB81C98
199,E6F3BA54
200,7A24F57F
201,6996D540
202,D3A260BC
203,4A3B2CFF
204,BD49DB46
205,52F63879
206,5816834E
207,C25794D5
208,20748450
209,C235A4D7
210,1F09CCCC
211,BAC33609
212,45D829B3
213,115F04DD
214,D621FFC6
215,E7A14E91
216,5459228D
217,87878948
218,F6CA75F0
219,56CCA717
220,526A3692
221,60E6081E
222,89431E9F
223,39F29B55
224,0783A7EA
225,7E022378
226,B59E1863
227,2DABF98F
228,75DC49AD
229,11CF8C9A
230,49D9148A
231,2F5DF476
232,BD0914CB
233,88AB027C
234,EB98812F
235,5284C27B
236,B12B8816
237,36B3872D
238,CB343E43
239,D13B9122
240,AC2B812A
241,171E91FF
242,B401C2DD
243,4AAEF549
244,5F8E7CA8
245,68EA281A
246,A15C5071
247,624078BA
248,F93AC929
249,BCBD2EAE
250,EE8ECB1D
251,135564AA
252,37E9CCDA
253,4BB4F257
254,FF592882
255,F6C6C3F7
256,12E354E2
257,ACB9D1C6
258,06B9BD24
259,F9305BAA
260,25C94A8F